run_id,cell,seed,topology,n_agents,n_facts,rounds,repair_round,message_facts,comm_prob,fanout,peer_trust,hub_trust,base_conf,injected_conf,coverage,roles,retention,ttl,capacity,fault_location,dag_in_degree,ws_k,ws_beta,retrieval_k,backend,source,source_role,n_edges,density,is_dag,mean_degree,mean_path_length,diameter,src_degree,src_betweenness,src_reach,contagion_radius,n_secondary,peak_prevalence,t_peak,t_saturation,t_first_spread,mean_first_passage,median_first_passage,max_hops,mean_hops,max_graph_distance,final_prevalence,persisted,persistence_rounds,recovered,recovery_time,clean_acc_final,clean_acc_mean,total_messages,false_claims,llm_calls,horizon,false_claim_share,clean_acc_final_control,clean_acc_delta,control_max_contaminated
quick-c0000-s0,0,0,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,central,2,4,0.2,4,mock,0,orchestrator,14,0.25,False,3.5,1.75,2,14,1.0,7,0.7142857142857143,5,0.75,9,9.0,1.0,5.4,5.0,1.0,1.0,1.0,0.0,False,20,True,20.0,1.0,0.9395161290322581,559,20,2438,30,0.03577817531305903,1.0,0.0,0
quick-c0000-s1,0,1,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,central,2,4,0.2,4,mock,0,orchestrator,14,0.25,False,3.5,1.75,2,14,1.0,7,1.0,7,1.0,15,15.0,1.0,7.285714285714286,6.0,1.0,1.0,1.0,1.0,True,21,False,,1.0,0.951036866359447,582,68,2460,30,0.11683848797250859,1.0,0.0,0
quick-c0000-s2,0,2,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,central,2,4,0.2,4,mock,0,orchestrator,14,0.25,False,3.5,1.75,2,14,1.0,7,0.7142857142857143,5,0.75,8,8.0,1.0,3.8,3.0,1.0,1.0,1.0,0.125,True,21,False,,1.0,0.9366359447004607,577,32,2440,30,0.05545927209705372,1.0,0.0,0
quick-c0000-s3,0,3,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,central,2,4,0.2,4,mock,0,orchestrator,14,0.25,False,3.5,1.75,2,14,1.0,7,1.0,7,1.0,5,5.0,1.0,3.5714285714285716,4.0,1.0,1.0,1.0,1.0,True,21,False,,1.0,0.9228110599078341,543,71,2428,30,0.13075506445672191,1.0,0.0,0
quick-c0000-s4,0,4,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,central,2,4,0.2,4,mock,0,orchestrator,14,0.25,False,3.5,1.75,2,14,1.0,7,1.0,7,1.0,9,9.0,1.0,4.571428571428571,4.0,1.0,1.0,1.0,1.0,True,21,False,,1.0,0.9360599078341013,551,63,2436,30,0.11433756805807622,1.0,0.0,0
quick-c0001-s0,1,0,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,peripheral,2,4,0.2,4,mock,1,worker,14,0.25,False,3.5,1.75,2,2,0.0,7,0.14285714285714285,1,0.25,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,False,0,True,0.0,1.0,0.9395161290322581,559,1,2438,30,0.0017889087656529517,1.0,0.0,0
quick-c0001-s1,1,1,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,peripheral,2,4,0.2,4,mock,1,worker,14,0.25,False,3.5,1.75,2,2,0.0,7,0.0,0,0.125,0,,,,,0.0,,,0.0,False,0,True,0.0,1.0,0.951036866359447,582,1,2460,30,0.001718213058419244,1.0,0.0,0
quick-c0001-s2,1,2,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,peripheral,2,4,0.2,4,mock,1,worker,14,0.25,False,3.5,1.75,2,2,0.0,7,0.0,0,0.125,0,,,,,0.0,,,0.0,False,0,True,0.0,1.0,0.9366359447004607,577,0,2440,30,0.0,1.0,0.0,0
quick-c0001-s3,1,3,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,peripheral,2,4,0.2,4,mock,1,worker,14,0.25,False,3.5,1.75,2,2,0.0,7,0.0,0,0.125,0,,,,,0.0,,,0.0,False,0,True,0.0,1.0,0.9228110599078341,543,2,2428,30,0.003683241252302026,1.0,0.0,0
quick-c0001-s4,1,4,star,8,8,30,10,2,0.7,,0.7,,0.6,1.0,0.6,homogeneous,keep_all,5,,peripheral,2,4,0.2,4,mock,1,worker,14,0.25,False,3.5,1.75,2,2,0.0,7,0.0,0,0.125,0,,,,,0.0,,,0.0,False,0,True,0.0,1.0,0.9360599078341013,551,2,2436,30,0.003629764065335753,1.0,0.0,0
