topology,retention,fault_location,n_runs,n_seeds,contagion_radius,contagion_radius_lo,contagion_radius_hi,contagion_radius_n,peak_prevalence,peak_prevalence_lo,peak_prevalence_hi,peak_prevalence_n,mean_first_passage,mean_first_passage_lo,mean_first_passage_hi,mean_first_passage_n,t_saturation,t_saturation_lo,t_saturation_hi,t_saturation_n,max_hops,max_hops_lo,max_hops_hi,max_hops_n,persisted,persisted_lo,persisted_hi,persisted_n,persistence_rounds,persistence_rounds_lo,persistence_rounds_hi,persistence_rounds_n,recovered,recovered_lo,recovered_hi,recovered_n,recovery_time,recovery_time_lo,recovery_time_hi,recovery_time_n,final_prevalence,final_prevalence_lo,final_prevalence_hi,final_prevalence_n,clean_acc_delta,clean_acc_delta_lo,clean_acc_delta_hi,clean_acc_delta_n,total_messages,total_messages_lo,total_messages_hi,total_messages_n
star,keep_all,central,5,5,0.8857142857142858,0.7714285714285715,1.0,5,0.9,0.8,1.0,5,4.925714285714287,3.8628571428571434,6.2,5,9.2,6.6,12.4,5,1.0,1.0,1.0,5,0.8,0.4,1.0,5,20.8,20.4,21.0,5,0.2,0.0,0.6,5,20.0,20.0,20.0,1,0.625,0.225,1.0,5,0.0,0.0,0.0,5,562.4,549.4,575.4,5
star,keep_all,peripheral,5,5,0.02857142857142857,0.0,0.08571428571428572,5,0.15,0.125,0.2,5,2.0,2.0,2.0,1,2.0,2.0,2.0,1,0.2,0.0,0.6,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,562.4,549.4,575.4,5
star,overwrite,central,5,5,0.9142857142857143,0.8,1.0,5,0.925,0.825,1.0,5,5.27904761904762,3.8628571428571434,6.6952380952380945,5,10.6,7.0,14.2,5,1.0,1.0,1.0,5,1.0,1.0,1.0,5,21.0,21.0,21.0,5,0.0,0.0,0.0,5,,,,0,0.925,0.825,1.0,5,0.0,0.0,0.0,5,562.4,549.4,575.4,5
star,overwrite,peripheral,5,5,0.02857142857142857,0.0,0.08571428571428572,5,0.15,0.125,0.2,5,2.0,2.0,2.0,1,2.0,2.0,2.0,1,0.2,0.0,0.6,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,562.4,549.4,575.4,5
star,ttl,central,5,5,0.8857142857142858,0.7714285714285715,1.0,5,0.9,0.8,1.0,5,4.925714285714287,3.8628571428571434,6.2,5,9.6,6.6,13.6,5,1.0,1.0,1.0,5,0.4,0.0,0.8,5,13.4,7.0,19.8,5,0.6,0.2,1.0,5,8.333333333333334,4.0,15.0,3,0.175,0.0,0.375,5,0.0,0.0,0.0,5,542.6,527.6,557.6,5
star,ttl,peripheral,5,5,0.02857142857142857,0.0,0.08571428571428572,5,0.15,0.125,0.2,5,2.0,2.0,2.0,1,2.0,2.0,2.0,1,0.2,0.0,0.6,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1.0,1.0,1.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,542.6,527.6,557.6,5
pipeline,keep_all,central,5,5,0.08571428571428572,0.02857142857142857,0.14285714285714285,5,0.2,0.15,0.25,5,6.333333333333333,3.0,8.0,3,6.333333333333333,3.0,8.0,3,0.6,0.2,1.0,5,0.0,0.0,0.0,5,5.6,1.2,10.009999999999945,5,1.0,1.0,1.0,5,5.6,1.2,10.009999999999945,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,264.4,252.38,276.4,5
pipeline,keep_all,peripheral,5,5,0.14285714285714285,0.14285714285714285,0.14285714285714285,5,0.25,0.25,0.25,5,5.0,3.8,6.2,5,5.0,3.8,6.2,5,1.0,1.0,1.0,5,0.0,0.0,0.0,5,12.2,8.0,16.4,5,1.0,1.0,1.0,5,12.2,8.0,16.4,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,264.4,252.38,276.4,5
pipeline,overwrite,central,5,5,0.08571428571428572,0.02857142857142857,0.14285714285714285,5,0.2,0.15,0.25,5,6.333333333333333,3.0,8.0,3,6.333333333333333,3.0,8.0,3,0.6,0.2,1.0,5,0.6,0.2,1.0,5,12.6,4.2,21.0,5,0.4,0.0,0.8,5,0.0,0.0,0.0,2,0.075,0.025,0.125,5,0.0,0.0,0.0,5,264.4,252.38,276.4,5
pipeline,overwrite,peripheral,5,5,0.1714285714285714,0.14285714285714285,0.22857142857142856,5,0.25,0.25,0.25,5,6.3,3.8,9.9,5,5.0,3.8,6.2,5,1.2,1.0,1.6,5,1.0,1.0,1.0,5,21.0,21.0,21.0,5,0.0,0.0,0.0,5,,,,0,0.15,0.125,0.2,5,0.0,0.0,0.0,5,264.4,252.38,276.4,5
